District,LAT,LON,Camels,Donkeys
BARINGO,0.448155493,35.97415916,13,3047
BARINGO NORTH,0.745856425,35.80555092,28,299
BOMET,-0.840969003,35.31899335,5,18363
BONDO,-0.09212788,34.19064437,4,2406
BORABU,-0.735368659,35.02803793,,653
BUNGOMA EAST,0.63973936,34.73645726,,346
BUNGOMA NORTH,0.783636675,34.86452529,4,688
BUNGOMA SOUTH,0.56139561,34.52131934,8,920
BUNGOMA WEST,0.718594776,34.54143282,6,797
BUNYALA,0.085563847,34.02046792,,102
BURET,-0.547074877,35.3033778,6,4008
BUSIA,0.413063265,34.26474625,,590
BUTERE,0.192421093,34.54564535,,859
CHALBI,3.399917155,37.36288736,69411,37713
EAST POKOT,1.049001072,36.01860317,67036,51763
ELDORET EAST,0.563160828,35.41893944,,2053
ELDORET WEST,0.711285558,35.19163187,6,1441
EMBU,-0.409100139,37.50475286,2,579
EMUHAYA,0.057677852,34.60778185,,309
FAFI,-0.687063677,40.43908059,28143,7694
GARBATULLA,0.627639147,38.65180184,29127,10315
GARISSA,-0.051825797,39.56855753,101548,25820
GATANGA,-0.876497537,36.88791928,,302
GATUNDU,-0.959326055,36.85558237,15,677
GITHUNGURI,-1.066938632,36.79433274,,697
GUCHA,-0.846550168,34.77186075,,2644
GUCHA SOUTH,-0.847942391,34.65567846,,909
HAMISI,0.099070606,34.82143608,,220
HOMABAY,-0.667961724,34.44445584,7,4285
IGEMBE,0.303772382,38.05720532,1448,5260
IJARA,-1.427885086,40.73455516,1740,8096
IMENTI NORTH,0.083380846,37.43552549,49,2371
IMENTI SOUTH,-0.122681965,37.60133849,4,409
ISIOLO,1.255057085,38.46170147,9957,11874
KAJIADO CENTRAL,-2.133910157,36.89341002,472,31564
KAJIADO NORTH,-1.646437311,36.44660994,991,2113
KAKAMEGA CENTRAL,0.350512813,34.6856109,2004,785
KAKAMEGA EAST,0.273804872,34.85789384,,458
KAKAMEGA NORTH,0.473620028,34.82641205,4,991
KAKAMEGA SOUTH,0.190561619,34.7077479,2,193
KALOLENI,-3.768179495,39.54477529,,826
KANGUNDO,-1.237582196,37.27203719,3,1256
KEIYO,0.489045271,35.57039657,4,2737
KERICHO,-0.34219841,35.21130866,2,9070
KIAMBU EASTKIAMBAA),-1.158558742,36.80546766,110,1028
KIAMBU WEST,-1.139177531,36.62625892,,3444
KIBWEZI,-2.468788914,38.02538524,2,4826
KIKUYU,-1.236882983,36.63360077,,3381
KILIFI,-3.494969907,39.60114414,6,1029
KILINDINI,-4.0383,39.6365,1,917
KINANGO,-3.96233059,39.10335046,552,723
KIPKELION,-0.155533799,35.47881562,,10503
KIRINYAGA,-0.519266797,37.32018369,7,3990
KISII CENTRAL,-0.589287405,34.79181187,,931
KISII SOUTH,-0.664610487,34.6895693,,118
KISUMU EAST,-0.103412297,34.80473358,5,953
KISUMU WEST,-0.087587476,34.53285818,2,813
KITUI,-1.392710301,38.30094003,24,48647
KOIBATEK,0.105862677,35.86953085,6,8228
KURIA EAST,-1.279753411,34.65699509,,1256
KURIA WEST,-1.18554383,34.51983447,,839
KWALE,-4.221293887,39.40753681,1,269
KWANZA,1.134996095,34.85810469,29,3462
KYUSO,-0.440861626,38.27042885,1190,25863
LAGDERA,0.288065622,39.89717479,104992,33568
LAIKIPIA EAST,0.093934415,36.95183375,22,2374
LAIKIPIA NORTH,0.515458301,36.99627658,2064,3990
LAIKIPIA WEST,0.39729996,36.5181069,717,7111
LAISAMIS,2.238105939,37.48344825,46680,11843
LAMU,-2.018858269,40.74388079,47,2572
LARI,-0.92811243,36.67684469,,2291
LOITOKITOK,-2.635934635,37.47875865,134,10997
LUGARI,0.723211024,35.02947866,2,817
MAARA,-0.228019729,37.62522793,6,188
MACHAKOS,-1.50054564,37.16409824,9,2665
MAKUENI,-1.881125246,37.67253055,3,14326
MALINDI,-2.934879654,39.74330931,10,2125
MANDERA CENTRAL,3.226535113,40.72748791,385085,83649
MANDERA EAST,3.521529392,41.29294811,179713,64985
MANDERA WEST,3.593363344,40.2334622,366021,43030
MANGA,-0.688310175,34.90211779,,218
MARAKWET,1.08405524,35.50699822,17,10636
MARSABIT,2.350360288,37.94495682,915,2800
MASABA,-0.793929262,34.88253143,2,1845
MBEERE,-0.666137176,37.66541038,11,7234
MBOONI,-1.649117358,37.60666503,5,6737
MERU CENTRAL,0.001443681,37.58330732,2,862
MERU SOUTH,-0.330686401,37.67297626,2,486
MIGORI,-0.994047994,34.30280979,1,5848
MOLO,-0.409755795,35.75756717,2,20208
MOMBASA,-3.9685,39.6977,,757
MOYALE,3.117620629,38.80269655,86314,11505
MSAMBWENI,-4.397198722,39.16173404,60,1540
MT. ELGON,0.928746904,34.59729929,2,6347
MUMIAS,0.35427418,34.48762031,4,1202
MURANGA NORTH,-0.675384535,36.98118146,,930
MURANGA SOUTH,-0.845673319,37.05522802,4,2066
MUTOMO,-2.179047638,38.53912323,396,26750
MWALA,-1.399783931,37.52391049,7,6587
MWINGI,-0.907180566,38.36852014,513,35361
NAIROBI EAST,-1.274861358,36.967484,3,3068
NAIROBI NORTH,-1.225618057,36.8911257,17,6894
NAIROBI WEST,-1.341174727,36.79920201,,2211
NAIVASHA,-0.727134387,36.33344468,67,19375
NAKURU,-0.134672183,36.03461164,2,3938
NAKURU NORTH,-0.135028953,36.16401596,,2273
NANDI CENTRAL,0.237462739,35.08490348,13,675
NANDI EAST,0.105368029,35.23779105,6,963
NANDI NORTH,0.438611778,35.06077368,6,1278
NANDI SOUTH,0.048811478,34.96800793,11,2040
NAROK NORTH,-0.959555087,35.99464674,116,38796
NAROK SOUTH,-1.402738483,35.5807782,449,38934
NYAMIRA,-0.549513229,34.96346861,,1376
NYANDARUA NORTH,-0.144560572,36.42343108,4,7366
NYANDARUA SOUTH,-0.533045224,36.55651343,1,3863
NYANDO,-0.198538171,35.02991504,6,14174
NYERI NORTH,-0.266587082,36.9811441,78,2219
NYERI SOUTH,-0.500808092,36.89927916,10,1064
NZAUI,-1.928374635,37.41612392,12,6195
POKOT CENTRAL,1.491213025,35.49402215,1050,6559
POKOT NORTH,2.039330692,35.10600361,29273,21671
RACHUONYO,-0.43493606,34.70386182,6,5879
RARIEDA,-0.218940047,34.33792037,4,3573
RONGO,-0.877791282,34.51455638,4,1896
RUIRU,-1.167110142,36.99460397,2,1117
SAMBURU CENTRAL,1.09166901,36.71442163,3544,4281
SAMBURU EAST,1.081019259,37.47389892,7212,10363
SAMBURU NORTH,1.789437949,36.83086912,22068,12178
SAMIA,0.249684994,34.08114406,,132
SIAYA,0.11399015,34.3043068,8,1552
SOTIK,-0.759704345,35.1490337,4,3592
SUBA,-0.582416527,34.20665004,10,8625
TAITA,-3.416968032,38.56492447,1078,2772
TANA DELTA,-2.317407934,39.51654731,496,4902
TANA RIVER,-0.942366175,39.34922935,48386,12688
TAVETA,-3.41452877,37.97519351,208,796
TESO NORTH,0.685653144,34.34692124,,131
TESO SOUTH,0.545069632,34.22063324,,44
THARAKA,-0.136787024,38.01828449,12,5444
THIKA EAST,-1.029757173,37.23100647,,356
THIKA WEST,-1.099288796,37.04502993,,725
TIGANIA,0.256927453,37.77333779,2529,5325
TINDERET,-0.013491939,35.3167413,,4205
TRANS MARA,-1.159714592,34.89742997,43,20466
TRANS NZOIA EAST,0.942674226,34.89426897,12,2474
TRANS NZOIA WEST,1.022635873,35.18029104,6,2778
TURKANA CENTRAL,3.05371677,35.44299468,150700,90067
TURKANA NORTH,4.31378822,35.09717514,269185,194434
TURKANA SOUTH,2.078370044,35.99979492,412577,273686
VIHIGA,0.079761357,34.72682968,1,298
WAJIR EAST,2.195672158,40.36685178,167764,32192
WAJIR NORTH,2.931162031,39.5873795,161958,23681
WAJIR SOUTH,0.974263337,40.34314459,97111,29113
WAJIR WEST,1.920164855,39.5240015,106818,30517
WARENG,0.299690606,35.33850049,,2105
WEST POKOT,1.492414256,35.16354392,294,8243
WESTLANDS,-1.246976295,36.7882561,,651
YATTA,-1.060809489,37.60220541,1,10828
